Datei,Shot,Von,Nach,Delta
quantum_log_Technologie und Innovation_act_nq4_20250418035818_b7eb.json,4,2,0,2
quantum_log_Technologie und Innovation_act_nq4_20250418035818_b7eb.json,5,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035818_b7eb.json,7,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035818_b7eb.json,10,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035818_b7eb.json,13,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035818_93f1.json,3,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035818_93f1.json,12,4,0,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,1,0,4,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,5,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,6,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,8,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,9,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,12,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035818_c8ba.json,14,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,1,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,7,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,8,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,9,0,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,10,2,0,2
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,11,0,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035818_f64a.json,14,2,4,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035818_5c81.json,9,2,4,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035818_5c81.json,10,4,1,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035818_5c81.json,11,1,4,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035818_5c81.json,12,4,2,2
quantum_log_Cortex Criticus_act_nq4_20250418035818_2ef3.json,1,4,1,3
quantum_log_Cortex Criticus_act_nq4_20250418035818_2ef3.json,10,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035818_2ef3.json,11,1,3,2
quantum_log_Cortex Criticus_act_nq4_20250418035818_2ef3.json,14,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,1,1,4,3
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,2,4,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,5,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,6,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,7,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,8,3,0,3
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,9,0,3,3
quantum_log_Limbus Affektus_act_nq4_20250418035818_f724.json,12,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035818_8501.json,2,0,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035818_8501.json,8,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035818_8501.json,9,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035818_8501.json,12,4,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_9229.json,9,4,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_9229.json,10,2,0,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_9229.json,11,0,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_9229.json,13,2,4,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_9229.json,14,4,1,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_427a.json,5,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_427a.json,9,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035819_4bb1.json,4,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_5299.json,12,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,1,3,0,3
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,3,1,4,3
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,5,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,9,4,0,4
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,10,0,2,2
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,12,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,13,0,4,4
quantum_log_Governance und Politik_act_nq4_20250418035819_7350.json,14,4,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,1,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,2,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,7,1,4,3
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,8,4,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,10,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,12,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,13,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_bacb.json,14,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035819_4de3.json,5,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035819_4de3.json,8,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035819_4de3.json,12,2,0,2
quantum_log_Technologie und Innovation_act_nq4_20250418035819_4de3.json,13,0,4,4
quantum_log_Technologie und Innovation_act_nq4_20250418035819_4de3.json,14,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,1,2,0,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,3,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,4,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,5,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,6,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,7,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,8,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,9,2,0,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,10,0,4,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,13,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_bdd4.json,14,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_08ff.json,4,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_08ff.json,5,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_08ff.json,6,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_08ff.json,10,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035819_550c.json,2,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035819_550c.json,4,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035819_550c.json,10,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035819_550c.json,11,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_f792.json,6,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_f792.json,7,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_f792.json,10,1,4,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_f792.json,11,4,2,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_f792.json,14,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035819_0977.json,7,2,0,2
quantum_log_Cortex Criticus_act_nq4_20250418035819_0977.json,8,0,2,2
quantum_log_Cortex Criticus_act_nq4_20250418035819_0977.json,12,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_d9dd.json,5,0,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_d9dd.json,11,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_d9dd.json,12,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035819_d9dd.json,13,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035819_2ce4.json,1,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035819_2ce4.json,2,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_75f7.json,1,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_75f7.json,4,2,4,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_75f7.json,9,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_75f7.json,11,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_75f7.json,13,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_4999.json,1,1,4,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_4999.json,2,4,1,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_4999.json,8,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_4999.json,9,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_4999.json,12,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035819_b818.json,4,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035819_b818.json,12,3,0,3
quantum_log_Ethik und Moral_act_nq4_20250418035819_b818.json,13,0,3,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_6ab7.json,13,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035819_022f.json,5,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035819_022f.json,9,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035819_022f.json,11,4,1,3
quantum_log_Synergien und Integration_act_nq4_20250418035819_4a0f.json,1,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035819_4a0f.json,3,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_4a0f.json,8,4,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_4a0f.json,10,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035819_4a0f.json,14,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035819_2b53.json,2,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035819_2b53.json,6,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035819_2b53.json,11,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035819_2b53.json,12,0,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_8a98.json,2,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_8a98.json,3,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_8a98.json,4,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_8a98.json,5,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_8a98.json,10,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035819_8a98.json,11,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_9b9b.json,4,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_9b9b.json,5,1,4,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_9b9b.json,6,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_9b9b.json,9,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035819_9b9b.json,14,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035819_d3b2.json,5,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035819_d3b2.json,8,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035819_d3b2.json,10,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035819_d3b2.json,14,0,3,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_a0b5.json,5,2,4,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_a0b5.json,6,4,1,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035819_a0b5.json,10,1,3,2
quantum_log_Cortex Criticus_act_nq4_20250418035819_bcd3.json,10,1,3,2
quantum_log_Cortex Criticus_act_nq4_20250418035819_bcd3.json,14,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_be71.json,2,4,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_be71.json,4,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_be71.json,13,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035819_be71.json,14,0,3,3
quantum_log_Meta Cognitio_act_nq4_20250418035819_fca1.json,7,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035819_fca1.json,9,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_d46d.json,2,4,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_d46d.json,9,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_d46d.json,12,2,0,2
quantum_log_Cortex Socialis_act_nq4_20250418035819_d46d.json,13,0,3,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_58e0.json,13,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035820_b840.json,8,2,4,2
quantum_log_Ethik und Moral_act_nq4_20250418035820_b840.json,9,4,2,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_6f9e.json,2,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_6f9e.json,3,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_6f9e.json,9,3,0,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_6f9e.json,10,0,2,2
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,1,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,2,4,1,3
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,3,1,4,3
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,7,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,8,4,1,3
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,9,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035820_7a86.json,12,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_e023.json,2,4,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_e023.json,5,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_e023.json,6,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035820_e023.json,12,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_e023.json,13,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_e023.json,14,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035820_cd5c.json,8,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035820_cd5c.json,9,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035820_cd5c.json,12,1,4,3
quantum_log_Technologie und Innovation_act_nq4_20250418035820_cd5c.json,13,4,1,3
quantum_log_Technologie und Innovation_act_nq4_20250418035820_cd5c.json,14,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,1,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,2,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,3,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,4,4,0,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,5,0,4,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,6,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,7,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,8,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,9,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,11,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,13,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_27b8.json,14,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,1,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,3,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,4,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,6,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,9,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,12,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_642c.json,13,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035820_54b1.json,3,1,4,3
quantum_log_Cortex Creativus_act_nq4_20250418035820_54b1.json,4,4,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_54b1.json,10,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_07ea.json,7,2,0,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_07ea.json,8,0,3,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_07ea.json,11,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_07ea.json,12,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035820_8cdc.json,1,4,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035820_1581.json,6,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035820_1581.json,8,3,0,3
quantum_log_Limbus Affektus_act_nq4_20250418035820_1581.json,9,0,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,4,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,5,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,7,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,8,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,14,1,4,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,2,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,3,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,4,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,6,1,4,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,7,4,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,9,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_b9c2.json,10,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035820_424d.json,5,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_8500.json,11,2,0,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_8500.json,14,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,3,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,4,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,8,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,10,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,11,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,12,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035820_d058.json,13,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_1da1.json,2,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035820_1da1.json,3,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035820_1da1.json,9,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035820_1da1.json,10,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035820_641b.json,2,4,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035820_641b.json,4,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035820_641b.json,5,1,4,3
quantum_log_Technologie und Innovation_act_nq4_20250418035820_641b.json,6,4,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035820_641b.json,14,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_5264.json,7,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_5264.json,8,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_5264.json,9,4,0,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035820_5264.json,11,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_fc2d.json,1,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_fc2d.json,6,2,0,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_fc2d.json,7,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_fc2d.json,11,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_fc2d.json,12,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035820_fc2d.json,14,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_c248.json,1,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_c248.json,5,4,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_c248.json,9,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_c248.json,11,2,4,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_c248.json,12,4,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035820_c248.json,14,2,0,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_0f19.json,8,3,0,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_0f19.json,9,0,2,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_0f19.json,11,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_0f19.json,13,4,2,2
quantum_log_Cortex Criticus_act_nq4_20250418035820_0c84.json,5,3,0,3
quantum_log_Cortex Criticus_act_nq4_20250418035820_0c84.json,12,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035820_b92c.json,2,0,4,4
quantum_log_Limbus Affektus_act_nq4_20250418035820_b92c.json,3,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035820_b92c.json,4,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035820_b92c.json,5,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035820_b92c.json,7,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035820_b92c.json,8,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,3,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,4,0,3,3
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,6,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,7,0,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,10,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,11,3,0,3
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,12,0,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035820_b06b.json,1,3,0,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_89f6.json,7,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_89f6.json,8,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_89f6.json,12,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035820_89f6.json,14,4,1,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_f710.json,2,2,4,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_f710.json,3,4,2,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_f710.json,5,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035820_3da6.json,3,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035820_3da6.json,4,0,4,4
quantum_log_Governance und Politik_act_nq4_20250418035820_3da6.json,10,0,4,4
quantum_log_Governance und Politik_act_nq4_20250418035820_3da6.json,11,4,1,3
quantum_log_Synergien und Integration_act_nq4_20250418035821_8dbc.json,3,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035821_8dbc.json,4,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035821_8dbc.json,12,2,4,2
quantum_log_Synergien und Integration_act_nq4_20250418035821_8dbc.json,14,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035821_172b.json,3,4,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035821_172b.json,6,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,2,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,3,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,5,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,6,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,9,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,12,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035821_0cf7.json,13,1,4,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035821_f738.json,1,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035821_f738.json,2,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035821_f738.json,5,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035821_f738.json,8,1,4,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035821_f738.json,9,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035821_f738.json,14,1,4,3
quantum_log_Cortex Creativus_act_nq4_20250418035821_acaa.json,1,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035821_acaa.json,2,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035821_acaa.json,4,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035821_acaa.json,9,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035821_acaa.json,10,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035821_1a4e.json,8,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035821_1a4e.json,9,3,0,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035821_1a4e.json,10,0,3,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035821_1a4e.json,11,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035821_1a4e.json,12,1,3,2
